Rank,Role,Company,Location,Type,Posted,Maps to title,Title fit /30,Level fit /30,Skill overlap /25,Employer /15,Match score,Verdict,Use CV,Why it scores here,Watch out,LinkedIn
19,"Udaan Data Analytics",Myntra,"Bengaluru, KA","Early-career programme",2026-09-12,"#4 Data Analyst / #14 Product Analyst",24,27,19,13,83,"Strong - apply",AN,"Udaan is Myntra's early-careers analytics track - built for exactly your stage.","Power BI / Tableau will very likely be screened. This is the role that most rewards fixing that gap.",https://in.linkedin.com/jobs/view/udaan-data-analytics-at-myntra-4420409112
20,"Analytics Intern","Policybazaar.ae","Gurugram, HR",Internship,2026-09-02,"#4 Data Analyst / #14 Product Analyst",23,29,19,11,82,"Strong - apply",AN,"Insurance analytics - high-volume behavioural data and a real experimentation culture.","Listed under the .ae entity; confirm whether the seat is India or UAE.",https://in.linkedin.com/jobs/view/analytics-intern-at-policybazaar-ae-4459901759
21,"Data Analyst/Data Engineer Intern",DeHaat,"Gurugram, HR",Internship,2026-08-20,"#4 Data Analyst / #9 Data Engineer",23,29,20,10,82,"Strong - apply",ENG,"Dual analyst/engineer scope matches the fact that you have genuinely done both.","Agritech data is messy and field-sourced - lean on your multi-source pipeline work.",https://in.linkedin.com/jobs/view/data-analyst-data-engineer-intern-at-dehaat-4455603847
22,"Risk Analyst, Model Risk Management",ICE,"Hyderabad, TG",Full-time,2026-09-01,"#11 Quantitative Risk",29,20,20,13,82,"Strong - apply",QR,"Your MCMC bullet - convergence diagnostics, sensitivity analysis, documented assumptions - is model-validation language almost word for word.","Will expect SR 11-7 or Basel familiarity. Read the framework before interviewing.",https://in.linkedin.com/jobs/view/risk-analyst-model-risk-management-at-ice-4462015784
23,"Analyst - Data Science","American Express","Gurugram, HR",Full-time,2026-09-15,"#1 Data Scientist / #2 Decision Scientist",28,21,20,13,82,"Strong - apply",DS,"Amex runs a genuine analyst tier in India and hires off-campus into it.","Strong SQL screen. Your SQL is listed but thinly evidenced - build a query-heavy story.",https://in.linkedin.com/jobs/view/analyst-data-science-at-american-express-4466198681
24,"Graduate Apprenticeship Trainee - AI/ML",Bruker,"Bengaluru, KA",Apprenticeship,2026-09-10,"#5 Applied Scientist / #6 ML Engineer",22,29,19,11,81,"Strong - apply",RES,"Apprenticeship framing means they expect to train - the internship gap matters least here.","Apprentice stipends are low and conversion is not guaranteed. Ask about conversion rate.",https://in.linkedin.com/jobs/view/graduate-apprenticeship-trainee-ai-ml-at-bruker-4465818319
25,"AI/ML Intern (Generative AI & LLM)","Webknot Technologies","Bengaluru, KA",Internship,2026-09-15,"#12 GenAI Engineer",24,29,20,8,81,"Strong - apply",ENG,"Your long-form memory system - hybrid BM25 plus embeddings, sub-100ms, conflict resolution - is well past the usual wrapped-API project.","Small services firm. Verify the work is real engineering and not client demos.",https://in.linkedin.com/jobs/view/ai-ml-intern-generative-ai-llm-at-webknot-technologies-4454616072
26,"Risk Management - Model Performance & Monitoring - Analyst",Nomura,"Mumbai, MH",Full-time,2026-08-26,"#11 Quantitative Risk",28,20,20,13,81,"Strong - apply",QR,"Model monitoring and performance testing is backtesting under a different name - you have done it on a live pipeline.","Analyst here still usually means 1+ year. Bank risk also leans SAS, which you lack.",https://in.linkedin.com/jobs/view/risk-management-risk-methodology-model-performance-monitoring-analyst-at-nomura-4459158356
27,"IT Internship Program (January - June 2027)","Edwards Lifesciences","Pune, MH",Internship,2026-09-15,"#13 Life Sciences",20,30,17,13,80,"Strong - apply",PHA,"Jan-Jun 2027 window fits your final year cleanly, and medtech keeps the life-sciences thread alive.","Broad IT scope - may not be analytics at all. Clarify the team before accepting.",https://in.linkedin.com/jobs/view/it-internship-program-january-june-2027-at-edwards-lifesciences-4465299133
28,"Quant Researcher",CoinDCX,"Bengaluru, KA",Full-time,2026-08-21,"#3 Quant Research / #16 Quant Developer",28,18,22,10,78,"Strong - apply",QR,"Crypto quant is Python-first and pedigree-light - the cleanest route around your missing C++.","Volatile sector. Check the firm's headcount trajectory before committing.",https://in.linkedin.com/jobs/view/quant-researcher-at-coindcx-4457366420
29,"Modeling Centre of Excellence: Forecasting - Analyst",JPMorganChase,"Mumbai, MH",Full-time,2026-08-28,"#8 Research Analyst / #11 Model Risk",26,18,20,14,78,"Strong - apply",RES,"Forecasting CoE work is time-series econometrics, which your SARIMA project evidences directly.","Bank analyst tiers rarely take pre-graduation candidates. Apply for the 2027 cycle.",https://in.linkedin.com/jobs/view/modeling-centre-of-excellence-forecasting-analyst-at-jpmorganchase-4441912718
30,"Information Technology Intern","Procter & Gamble","Mumbai, MH",Internship,2026-09-01,"#10 Business Analyst",18,30,16,14,78,"Strong - apply",AN,"P&G internships convert well and the brand travels. Level fit is perfect.","Broad IT scope, not analytics-specific. Confirm the team before accepting.",https://in.linkedin.com/jobs/view/information-technology-intern-at-procter-gamble-4459289674
31,"Evaluation & Insights Intern, AI Delivery","Blue Machines AI","Bengaluru, KA",Internship,2026-09-08,"#12 GenAI / #14 Product Analyst",22,29,19,8,78,"Strong - apply",ENG,"LLM evaluation work maps onto the benchmark suite you built for the memory system.","Early-stage company. Check funding and headcount.",https://in.linkedin.com/jobs/view/evaluation-insights-intern-ai-delivery-at-blue-machines-ai-4464468962
32,"AQE Research Analyst, Officer","State Street","Bengaluru, KA",Full-time,2026-09-02,"#3 Quant Research / #11 Risk",26,18,20,13,77,"Worth a shot",QR,"Active quantitative equity research - factor models and signal construction, which is your P1 in an institutional wrapper.","'Officer' is a graded bank title above entry. Stretch.",https://in.linkedin.com/jobs/view/aqe-research-analyst-officer-at-state-street-4456418137
33,"Quant Trader / Researcher - Options & Systematic Derivatives","Northstar Quant","Mumbai, MH",Full-time,2026-08-19,"#3 Quant Research",29,17,22,9,77,"Worth a shot",QR,"Options and systematic derivatives is precisely the domain of your accepted paper on conformal prediction for option pricing.","Small firm, likely wants someone who can trade from day one. Long shot, but the paper makes it worth one email.",https://in.linkedin.com/jobs/view/quant-trader-researcher-options-systematic-derivatives-at-northstar-quant-4454993478
34,"BCG X Finance Intern","Boston Consulting Group (BCG)","Gurgaon, HR",Internship,2026-09-10,"#7 Analytics Consultant",20,26,16,15,77,"Worth a shot",DS,"BCG X is the analytics arm; the brand alone changes what your next application looks like.","Almost certainly campus-gated and finance-scoped. Confirm BIT Mesra eligibility first.",https://in.linkedin.com/jobs/view/bcg-x-finance-intern-at-boston-consulting-group-bcg-4455647003
35,"Product Analyst Intern",Amber,"Pune, MH",Internship,2026-09-09,"#14 Product Analyst",22,29,17,9,77,"Worth a shot",DS,"Clean intern-level product analytics seat; your experimentation depth is above the usual bar for this title.","No Amplitude/Mixpanel on your resume and no consumer-product context.",https://in.linkedin.com/jobs/view/product-analyst-intern-at-amber-4465046957
36,"Python AI Intern",techolution,"Hyderabad, TG",Internship,2026-09-15,"#6 ML Engineer / #12 GenAI",20,29,18,8,75,"Worth a shot",ENG,"Straightforward Python/AI intern seat, recently posted.","Services firm - work quality varies a lot by account.",https://in.linkedin.com/jobs/view/python-ai-intern-at-techolution-4466197990
37,"Summer Associate, PI (Campus) - Global Capability Center","Alvarez & Marsal","Gurugram, HR",Internship,2026-09-09,"#7 Analytics Consultant",21,25,16,13,75,"Worth a shot",DS,"Consulting summer seat; your DSS sponsorship work is the client-facing evidence they screen for.","Marked '(Campus)' - verify BIT Mesra is on their target list before spending effort.",https://in.linkedin.com/jobs/view/summer-associate-pi-campus-global-capability-center-at-alvarez-marsal-4455770517
38,"Quantitative Trader","39k Group","Gurugram, HR",Full-time,2026-09-11,"#3 Quant Research / #16 Quant Developer",26,18,20,10,74,"Worth a shot",QR,"Crypto trading desk - again Python-first and open to non-traditional backgrounds.","Trading seats test mental maths and probability under time pressure. Prepare specifically.",https://in.linkedin.com/jobs/view/quantitative-trader-at-39k-group-4463951483
39,"AI/ML Engineering Intern","Daice Labs","India (remote)",Internship,2026-09-08,"#6 ML Engineer",20,29,17,7,73,"Worth a shot",ENG,"Remote intern seat, so no relocation from Ranchi required.","Unverified small company. Do a due-diligence pass before applying.",https://in.linkedin.com/jobs/view/ai-ml-engineering-intern-at-daice-labs-4463551650
40,"Software Engineering Intern","Freight Tiger","Bengaluru, KA",Internship,2026-09-10,"#6 ML Engineer",18,29,16,9,72,"Worth a shot",ENG,"General SWE intern seat; your modular codebase and pytest suite are the relevant evidence.","Not a data role. Take it only as internship-gap insurance.",https://in.linkedin.com/jobs/view/software-engineering-intern-at-freight-tiger-4465608884
41,"Data Intern","Inspire Institute of Sport","Vijayanagara, KA",Internship,2026-08-18,"#4 Data Analyst",18,29,15,8,70,"Worth a shot",AN,"Sports analytics - small team, so likely broad ownership.","Remote location and narrow domain. Lowest ceiling on this list.",https://in.linkedin.com/jobs/view/data-intern-at-inspire-institute-of-sport-4455576264
